,RSW_25deg,RSW_0deg,ESW_CaMg_25deg,ESW_CaMg_0deg,ESW_CaMg_NaCl_25deg,ESW_CaMg_NaCl_0deg,ESW_CaMgSO4_NaCl_25deg,ESW_CaMgSO4_NaCl_0deg
pK0,1.546805822,1.201555681,1.544837523,1.199485084,1.548322695,1.203281107,1.548497231,1.204296068
pK1,5.847152896,6.115129007,5.849952472,6.11887247,5.849586178,6.117031389,5.918580266,6.154659208
pK2,8.965951492,9.388362303,9.009531921,9.43010866,9.013890623,9.43297024,9.061345381,9.452034292
pKB,8.597468151,8.913044156,8.612948665,8.932116229,8.614173241,8.931865201,8.673533053,8.963131493
pKH2O,13.21725057,14.30631335,13.31417251,14.39120463,13.32147072,14.39704426,13.39066051,14.43740316
pKspC,6.369333082,6.367466623,6.426222065,6.423721876,6.419097239,6.413896027,6.429586251,6.426663708
pKspA,6.188307116,6.165712112,6.244511991,6.218536626,6.23747777,6.209340451,6.247832883,6.221287328
pKHSO4,0.998219328,0.541366189,1.012641887,0.549647371,1.000037974,0.537852128,1.00182894,0.536858607
TempC,25,0,25,0,25,0,25,0
SalA,35.11683038,35.11705172,34.06663494,34.06687858,36.19497334,36.19521931,36.6844115,36.68466608
kgw/kgsw,0.964836668,0.964836399,0.965852332,0.965852058,0.963796185,0.96379591,0.963324731,0.963324449
Ca2+ (total),0.010656799,0.010656799,0.017600003,0.017600005,0.017600003,0.01760001,0.017600002,0.017600005
Mg2+ (total),0.054742103,0.054742111,0.035200003,0.03520001,0.035200001,0.035200012,0.035200001,0.035200014
SO42- (total),0.029264292,0.0292643,0.029264292,0.0292643,0.029264302,0.02926431,0.014000001,0.014
Na+,0.4860597,0.4860598,0.4860597,0.4860599,0.5238564,0.5238566,0.5391207,0.5391209
Cl-,0.5657646,0.5657648,0.5405669,0.540567,0.5783636,0.5783637,0.6241564,0.6241566
IonicStr,0.721990478,0.72209699,0.684228558,0.684334053,0.722035922,0.722141192,0.722025825,0.722132096
pHF,8.208383236,8.582885522,8.247199606,8.62088946,8.247981608,8.621176917,8.246782224,8.619341304
pHT,8.102285289,8.530326538,8.138099192,8.567121584,8.141508821,8.569121372,8.192385873,8.593730478
ALK,2388,2388,2388,2388,2388,2388,2388,2388
DIC,2038,2038,2038,2038,2038,2038,2038,2038
Omega,2.638297688,2.874481767,5.07440822,5.529598994,5.090142644,5.499716433,5.172275574,5.625021511
alpha H,0.774326147,0.907614125,0.768470195,0.906002774,0.773593486,0.908290335,0.876738598,0.954022509
alpha CO3,0.014136396,0.014129107,0.016398994,0.016388702,0.016398108,0.016387823,0.016399138,0.016388752
alpha OH,0.106258922,0.106213304,0.156085223,0.156012641,0.156078018,0.156006005,0.156082558,0.156010166
pCO2,315.063,102.5342,291.312,94.80815,291.0923,94.7835,300.3619,97.62649
