,RSW_25deg,RSW_0deg,ESW_CaMg_25deg,ESW_CaMg_0deg,ESW_CaMg_NaCl_25deg,ESW_CaMg_NaCl_0deg,ESW_CaMgSO4_NaCl_25deg,ESW_CaMgSO4_NaCl_0deg
K0,0.02839188170446476,0.06287012899357156,0.028556898885228655,0.0632513878586394,0.02825562455435045,0.06254085673357804,0.028226899485225724,0.06233568154456798
K1,1.421828464998762e-06,7.671335370348073e-07,1.4141065928424314e-06,7.61367642722062e-07,1.412462475570464e-06,7.629591755645488e-07,1.2065934092865141e-06,7.002065905341038e-07
K2,1.0815547805574677e-09,4.089193926072864e-10,9.79755342881184e-10,3.719989174388724e-10,9.692328505728297e-10,3.6919391675509596e-10,8.686389692137456e-10,3.5327143142040433e-10
KB,2.526573146037348e-09,1.2216754116444858e-09,2.4400602080311925e-09,1.1702002565255613e-09,2.4295851232744357e-09,1.1692379609206562e-09,2.120814724901437e-09,1.0883001906375133e-09
KW,6.063863726941119e-14,4.939541564447181e-15,4.908983789520808e-14,4.108161451346474e-15,4.8139136244325483e-14,4.0398016887201856e-15,4.137642830813736e-14,3.696638848719998e-15
KspC,4.2723511097007645e-07,4.290752089556492e-07,3.7215392782553e-07,3.7404593275969046e-07,3.794626864754201e-07,3.839776789464864e-07,3.7014645089148153e-07,3.7241354582437945e-07
KspA,6.4817590875513e-07,6.827911986898425e-07,5.655512511579927e-07,6.002444042323312e-07,5.765147716641252e-07,6.151425433277139e-07,5.625399306880849e-07,5.977957383922717e-07
KS,0.10041088660283022,0.2874973089842849,0.09724292187782795,0.28230134937135115,0.09994380492586545,0.28977766335720295,0.09945385098200292,0.2902848237309708
TempC,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0
SalA,35.10354593803739,35.10634393950629,34.0536639993303,34.05656867948713,36.18224145112928,36.18515041229172,36.67141578312861,36.674357063050685
Ca2+,0.010624620955623023,0.010631940827830089,0.01754064159098811,0.017554199218614158,0.01754159281367824,0.01755525406067049,0.01753971549995674,0.01755358110958913
Mg2+,0.05460317357784855,0.05462944319332751,0.035100006941362796,0.035119376093988595,0.03510190501107062,0.035121123789180635,0.035100679997818705,0.0351200039590971
SO42-,0.029264343694437124,0.02926434466928081,0.02926433880137878,0.02926433964390694,0.02926435422516218,0.02926435493653005,0.01400003068729556,0.014000026382387017
IonicStr,0.7219904101332619,0.7220971510788006,0.6842281298204971,0.6843340333858121,0.722035492030387,0.7221412478296456,0.722025472829195,0.7221321819490495
pHF,8.216791447632419,8.591305783596528,8.25548680058896,8.62931489550713,8.256851918560058,8.63019914653263,8.255877942086038,8.628579420378635
pHT,8.109217249225892,8.538099451702854,8.144932633440622,8.574923936372604,8.148848545161453,8.577496567065277,8.200609411340066,8.602624064212133
ALK,2388.0,2388.0,2388.0,2388.0,2388.0,2388.0,2388.0,2388.0
DIC,2038.0,2038.0,2038.0,2038.0,2038.0,2038.0,2038.0,2038.0
Omega,2.6469191720037153,2.880554109559971,5.123497318351171,5.58265496858918,5.1242209543863835,5.532871059070031,5.209883887284218,5.664887884315308
