[Ca2+],[Mg2+],K0p0,K0p1,K0p2,K0p3,K0p4,K0p5,K1p0,K1p1,K1p2,K1p3,K1p4,K2p0,K2p1,K2p2,K2p3,K2p4,Kbp0,Kbp1,Kbp2,Kbp3,Kbp4,Kbp5,Kbp6,Kbp7,Kbp8,Kbp9,Kbp10,Kbp11,Kwp0,Kwp1,Kwp2,Kwp3,Kwp4,Kwp5,Kwp6,Kcp0,Kcp1,Kcp2,Kcp3,Kcp4,Kcp5,Kcp6,Kcp7,Kcp8,Kap0,Kap1,Kap2,Kap3,Kap4,Kap5,Kap6,Kap7,Kap8,Ksp0,Ksp1,Ksp2,Ksp3,Ksp4,Ksp5,Ksp6,Ksp7,Ksp8,Ksp9,Ksp10
0.001,0.001,-54.40755708,85.14526378,20.57073427,0.048799303,-0.04108607,0.007638355,50.9140602,-3186.242916,-8.132106149,0.011188729,-0.000115092,-51.77952069,788.771181,6.898176619,0.015065419,-9.46E-05,161.3506264,151.0008095,1.405528034,-9716.343815,-3237.88995,-81.03072377,3.087570991,-0.158537222,-26.38058937,-27.45613763,-0.215219463,0.056478198,182.4949005,-15165.01658,-28.79424645,734.8310039,-19.10234352,2.977582631,-0.022820768,-172.2132215,-0.083830318,2657.3879,72.58524381,-1.839595807,0.004511614,326.4279916,-0.070734706,0.003816754,-177.5520709,-0.085447591,2856.405769,74.73918813,-1.133362129,0.003400926,236.5852153,-0.09382089,0.005635021,57.87404854,27.56172219,-10.5879813,-25977.75558,535.1463587,-79.67114431,47957.62404,-933.876458,139.084958,-6890.585665,2977.111201
0.001,0.002,-54.50668565,85.28631283,20.61813904,0.048344717,-0.040773729,0.00758583,51.08779071,-3193.776639,-8.158173952,0.011194399,-0.000115087,-51.12646204,754.3055582,6.805324241,0.015171642,-9.52E-05,158.4082508,151.6128765,1.337271438,-9403.819278,-3388.317843,-48.75803851,-0.110111536,-0.027396605,-25.94267898,-27.54075139,-0.205050882,0.056406566,179.605812,-15025.82392,-28.36582415,704.5214109,-18.52682153,2.893626346,-0.021944429,-180.0264662,-0.085855277,2872.891775,75.69587581,-1.801979897,0.004453214,321.1093795,-0.070958716,0.003827616,-185.2772857,-0.08745118,3069.341829,77.81519007,-1.096198584,0.003343215,231.3257898,-0.094037036,0.005645452,142.7840681,-4604.954331,-23.33110167,-13226.50808,342.1240983,-50.70064298,35661.92445,-824.3298679,122.6440552,-1146.22028,1344.977097
0.001,0.003,-54.60537071,85.42672841,20.66533252,0.047893136,-0.040463394,0.007533639,51.26140693,-3201.305753,-8.184224598,0.011200164,-0.000115084,-50.48193839,720.5287299,6.713542152,0.015272835,-9.58E-05,160.2541949,150.6316863,1.396834626,-9319.907551,-3458.407518,-24.57209196,-3.044895686,0.092768342,-26.21862835,-27.38718712,-0.213938303,0.05632772,178.0192364,-14947.51203,-28.13025371,683.434915,-18.1448208,2.838252671,-0.021112604,-187.1861125,-0.087705629,3070.403376,78.54584076,-1.766243246,0.004397461,316.0519819,-0.071153948,0.003836919,-192.322424,-0.089272438,3263.583909,80.61980134,-1.060877651,0.003288178,226.3300685,-0.094233036,0.005654792,106.9829173,-2666.555344,-17.95774311,-18527.64438,423.2337074,-62.87232711,40691.59947,-869.5903103,129.4369382,-3481.56728,2008.678974
0.001,0.004,-54.70432336,85.56752071,20.71265539,0.047440792,-0.040152517,0.007481352,51.43592902,-3208.874964,-8.210411087,0.011206085,-0.000115082,-49.84506109,687.3782832,6.622710604,0.015369611,-9.64E-05,159.7136067,150.4547811,1.395119822,-9465.891477,-3341.742382,-52.45161509,0.021173709,-0.032988556,-26.13869624,-27.35455036,-0.213687406,0.056259894,176.5744675,-14877.44747,-27.91522314,663.7139251,-17.78284002,2.78577369,-0.020388754,-193.7685181,-0.089403173,3251.931229,81.16571876,-1.732113189,0.004344294,311.2476542,-0.071357455,0.003846701,-198.8727982,-0.090963273,3444.113645,83.22729133,-1.027006673,0.003235428,221.5614179,-0.094434038,0.005664433,160.0145365,-4979.94681,-25.91717144,-13197.99606,302.2719807,-44.71530299,37521.69066,-800.5596221,119.0759118,-3337.385695,1967.963797
0.001,0.005,-54.80336615,85.70844604,20.76001988,0.046987451,-0.039840998,0.007428961,51.60954548,-3216.404365,-8.23646255,0.011212179,-0.000115084,-49.218781,654.9663098,6.533283674,0.015461799,-9.70E-05,159.546017,150.1327366,1.399468129,-9457.728935,-3332.564169,-52.58406596,0.009502519,-0.032235898,-26.11420648,-27.29908911,-0.214336604,0.056178307,174.5304381,-14780.95043,-27.61075701,639.7839843,-17.32248181,2.718580455,-0.01971939,-199.9166664,-0.09098584,3421.475582,83.61252001,-1.699327533,0.004293135,306.6418341,-0.071553867,0.003856139,-204.9038332,-0.092515587,3610.349492,85.62758688,-0.994593947,0.003184912,217.0110788,-0.094631228,0.005673907,141.2735778,-4299.932065,-23.10411912,-14435.73822,344.5519125,-51.05960072,37516.32075,-823.8467703,122.5711284,-2569.675766,1749.765716
0.001,0.006,-54.90240408,85.84934717,20.80738725,0.046534806,-0.039529841,0.007376614,51.78352972,-3223.949802,-8.262566951,0.011217599,-0.000115075,-48.60283023,623.2629977,6.445231417,0.015549941,-9.75E-05,158.5974622,150.0877576,1.384563042,-9568.022382,-3233.51004,-77.06044316,2.766215546,-0.145181868,-25.97378321,-27.28559483,-0.212128259,0.056105856,173.611082,-14737.67448,-27.47297561,624.3494638,-17.03816447,2.677499201,-0.019168085,-205.5489703,-0.092430845,3576.828713,85.8535715,-1.668066421,0.004244197,302.2508078,-0.071732469,0.00386464,-210.4925037,-0.093950318,3764.40896,87.85153239,-0.96358048,0.003136371,212.6542397,-0.094807345,0.005682267,102.5130711,-2718.372203,-17.2867531,-17805.53627,432.3077187,-64.22844202,38906.72948,-872.8217738,129.9213234,-2018.598959,1592.933821
0.001,0.007,-55.00105069,85.98970965,20.85456206,0.046085291,-0.039220888,0.007324652,51.95719419,-3231.482118,-8.288624422,0.01122347,-0.000115073,-47.99607033,592.2002567,6.358395045,0.015634197,-9.80E-05,159.3322277,149.4739704,1.415246171,-9636.299782,-3187.032115,-84.31577487,3.410717067,-0.171579403,-26.0836926,-27.18714685,-0.216699615,0.056029416,170.4394083,-14592.16169,-27.00020433,592.0957387,-16.3807514,2.580893826,-0.01866151,-210.7660377,-0.09376773,3720.600875,87.9293911,-1.638133154,0.004197495,298.0736797,-0.071925102,0.003873921,-215.6103441,-0.095260676,3905.431076,89.88781578,-0.933942693,0.003090102,208.5145122,-0.094993264,0.005691177,106.5628109,-2836.339233,-17.8943809,-17655.65207,422.7404003,-62.79091136,39092.14478,-866.7830596,129.0149704,-2357.647986,1689.470061
0.001,0.008,-55.09998805,86.13047544,20.90187885,0.045633702,-0.038910476,0.007272436,52.13126516,-3239.032435,-8.314743783,0.011229736,-0.000115076,-47.40137086,561.8915783,6.273211747,0.015714774,-9.85E-05,157.9752534,149.5504751,1.389772721,-9609.128083,-3172.290782,-88.87961499,4.037349427,-0.197177203,-25.88229696,-27.19152067,-0.212913621,0.055953968,169.5164269,-14550.22589,-26.86100582,576.3541844,-16.07953894,2.537055132,-0.018157152,-215.5366549,-0.094984382,3852.174517,89.82694738,-1.609528308,0.004152622,294.0727932,-0.072091204,0.003881793,-220.3524651,-0.096471382,4036.107271,91.77430834,-0.905501353,0.003045605,204.5461476,-0.095168757,0.005699554,134.7917504,-4112.126607,-22.13138896,-14608.53068,358.1882322,-53.09992905,37036.41264,-829.6537252,123.4417686,-2012.718928,1591.45139
0.001,0.009,-55.19904375,86.2714077,20.94925302,0.045181375,-0.038599551,0.00722013,52.30517685,-3246.575456,-8.340836992,0.011235251,-0.000115069,-46.81547442,532.1771683,6.18920479,0.015791812,-9.90E-05,156.5496744,149.6807213,1.362430909,-9355.02145,-3306.828778,-57.00964688,0.688765195,-0.060060288,-25.6706652,-27.20472796,-0.208848756,0.055887625,167.5376129,-14461.01754,-26.56482877,553.4644756,-15.61579822,2.469074545,-0.017750049,-219.9451384,-0.096106117,3973.699176,91.58028136,-1.582095276,0.00410968,290.2551933,-0.072265004,0.003890119,-224.7421665,-0.097588841,4157.069234,93.5203304,-0.878225303,0.003002865,200.7459321,-0.095336139,0.005707522,90.08711595,-1677.546942,-15.42180619,-21294.9318,459.5405239,-68.30961145,43435.62217,-886.3610609,131.9525966,-5012.786388,2444.079432
0.001,0.01,-55.2979899,86.41218743,20.99657387,0.044730981,-0.038289946,0.007168048,52.4793508,-3254.129957,-8.366969978,0.011240919,-0.000115064,-46.24116253,503.1680182,6.106795556,0.015866103,-9.95E-05,156.5294048,149.3023647,1.372361016,-9509.479144,-3192.144479,-82.8107584,3.461134428,-0.173440525,-25.66817651,-27.14092127,-0.21033064,0.055806707,166.2140302,-14402.27989,-26.36579979,535.1164518,-15.2474982,2.415207836,-0.017374534,-224.0214842,-0.097139915,4086.081089,93.20125126,-1.555806747,0.004068379,286.5937342,-0.072421475,0.003897532,-228.7364405,-0.098600832,4267.164856,95.10860632,-0.85216346,0.002961943,197.1173511,-0.095491991,0.005714894,103.3736226,-2513.398773,-17.41610034,-18774.46283,428.9253519,-63.71226197,40600.76895,-868.3994051,129.2563008,-3447.807218,1999.284798
0.001,0.011,-55.39630755,86.55207704,21.04359302,0.044284587,-0.037983052,0.007116425,52.65340929,-3261.680463,-8.393086591,0.011247079,-0.000115066,-45.67616717,474.7518448,6.02565372,0.015937441,-9.99E-05,159.4059402,147.9764725,1.460533321,-9562.93428,-3186.953235,-74.62315759,2.134206982,-0.119128574,-26.09733197,-26.93611241,-0.223470878,0.055727849,164.9259243,-14346.12976,-26.1717,517.204484,-14.88322667,2.361873453,-0.017050678,-227.8126067,-0.098099691,4190.531285,94.70881532,-1.530630338,0.004028747,283.0896353,-0.072567609,0.0039044,-232.4010066,-0.099523702,4368.287833,96.5650853,-0.827058838,0.002922437,193.6241938,-0.095638401,0.00572177,123.7280325,-3625.869877,-20.47071579,-15693.79621,382.2637074,-56.70763514,37604.37603,-841.3782191,125.2009041,-2058.424293,1604.547908
0.001,0.012,-55.49549479,86.69318895,21.09103242,0.043833221,-0.037672722,0.00706421,52.82740765,-3269.227079,-8.419193052,0.011252661,-0.00011506,-45.1223369,447.0002783,5.946063505,0.01600555,-0.000100375,158.14887,148.0395522,1.437547504,-9423.331617,-3248.488311,-60.21416596,0.669237349,-0.058956362,-25.91068859,-26.93901626,-0.22005164,0.055657783,162.8789032,-14255.4941,-25.86493963,494.2432638,-14.40566775,2.291713237,-0.016779408,-231.3119246,-0.098981912,4286.955315,96.099849,-1.506241619,0.003990598,279.7247737,-0.07273776,0.003912622,-235.8612833,-0.100397246,4463.518744,97.94089194,-0.802892589,0.002884708,190.2957506,-0.095812494,0.005730196,120.6010697,-3059.698954,-20.0015685,-17960.01217,389.0263923,-57.72021529,41116.67324,-844.5805007,125.6810503,-4620.167007,2332.697732
